NRE,MUNICIPIO,CODMEC,ESTABELECIMENTO,STATUS
NUCLEO REG. EDUCACAO - APUCARANA                            ,KALORE,41035224,"ABRAHAM LINCOLN, C E-EF ETI EM",Ativo
NUCLEO REG. EDUCACAO - APUCARANA                            ,APUCARANA,41025318,"ALBERTO SANTOS DUMONT, C E C-M-EF M P",Ativo
NUCLEO REG. EDUCACAO - APUCARANA                            ,KALORE,41035232,"ALVORADA DA INFANCIA, C E C-EF M",Ativo
NUCLEO REG. EDUCACAO - APUCARANA                            ,ARAPONGAS,41026381,"ANESIO A DE AZEVEDO, C E PROF-EF M",Ativo
NUCLEO REG. EDUCACAO - APUCARANA                            ,MARILANDIA DO SUL,41027833,"ANGELO CASAGRANDE, C E PE-EF M N PROFIS",Ativo
NUCLEO REG. EDUCACAO - APUCARANA                            ,ARAPONGAS,41026403,"ANTONIO G NOVAES, C E-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - APUCARANA                            ,ARAPONGAS,41026411,"ANTONIO RACANELLO SAMPAIO, C E-EF M",Ativo
NUCLEO REG. EDUCACAO - APUCARANA                            ,APUCARANA,41597907,"ANTONIO T R DE OLIVEIRA, C E-EF M ETI",Ativo
NUCLEO REG. EDUCACAO - APUCARANA                            ,FAXINAL,41034562,"AUGUSTO BAHLS, E E PROF-EF",Ativo
NUCLEO REG. EDUCACAO - APUCARANA                            ,ARAPONGAS,41026470,"CARAVELAS,C E C-M MARQUES DE-EF M PROFIS",Ativo
NUCLEO REG. EDUCACAO - APUCARANA                            ,JANDAIA DO SUL,41027442,"CARLOS DE CAMPOS, E E-EF ETI",Ativo
NUCLEO REG. EDUCACAO - APUCARANA                            ,APUCARANA,41025482,"CARLOS MASSARETTO, C E C-M PREF-EF M",Ativo
NUCLEO REG. EDUCACAO - APUCARANA                            ,JANDAIA DO SUL,41144376,CEEBJA CECILIA MEIRELES-EF M N,Ativo
NUCLEO REG. EDUCACAO - APUCARANA                            ,APUCARANA,41357302,CEEBJA PROFA LINDA E A MIYADI-EF M,Ativo
NUCLEO REG. EDUCACAO - APUCARANA                            ,APUCARANA,41025890,CENTRO EST EDUC PROF AGR MANOEL RIBAS,Ativo
NUCLEO REG. EDUCACAO - APUCARANA                            ,CAMBIRA,41027310,"CESAR LATTES, C E-EF M",Ativo
NUCLEO REG. EDUCACAO - APUCARANA                            ,ARAPONGAS,41026586,"EMILIO DE MENEZES, C E-EF M N PROFIS",Ativo
NUCLEO REG. EDUCACAO - APUCARANA                            ,FAXINAL,41034716,"ERICO VERISSIMO, C E-EF M N ETI PROFIS",Ativo
NUCLEO REG. EDUCACAO - APUCARANA                            ,FAXINAL,41389581,"FERNANDO SONTAG, C E C-EF M",Ativo
NUCLEO REG. EDUCACAO - APUCARANA                            ,APUCARANA,41025636,"FRANCISCO A SOUSA, E E C-M PROF - EF ETI",Ativo
