NRE,ESCOLA,Total de estudantes que farão o TOIC,Quantidade de Aplicadores,Responsável pelo Teste,Responsável Técnico e Infraestrutura 
APUCARANA,"ABRAHAM LINCOLN, C E-EF ETI EM",28,2,1,1
,"ALBERTO SANTOS DUMONT, C E C-M-EF M P",13,1,1,1
,"ALVORADA DA INFANCIA, C E C-EF M",2,1,1,1
,"ANESIO A DE AZEVEDO, C E PROF-EF M",26,2,1,1
,"ANGELO CASAGRANDE, C E PE-EF M N PROFIS",45,3,1,1
,"ANTONIO G NOVAES, C E-EF M PROFIS",103,4,1,1
,"ANTONIO RACANELLO SAMPAIO, C E-EF M",39,2,1,1
,"ANTONIO T R DE OLIVEIRA, C E-EF M ETI",8,1,1,1
,"CARAVELAS,C E C-M MARQUES DE-EF M PROFIS",19,1,1,1
,"CARLOS MASSARETTO, C E C-M PREF-EF M",10,1,1,1
,CENTRO EST EDUC PROF AGR MANOEL RIBAS,34,2,1,1
,"CESAR LATTES, C E-EF M",7,1,1,1
,"EMILIO DE MENEZES, C E-EF M N PROFIS",40,2,1,1
,"ERICO VERISSIMO, C E-EF M N ETI PROFIS",75,4,1,1
,"FERNANDO SONTAG, C E C-EF M",2,1,1,1
,"FRANCISCO F BASTOS, C E C-M-EF M PROFIS",18,1,1,1
,GODOMA B DE OLIVEIRA C E C PROF-EF M,29,2,1,1
,"GUALTER FARIAS NEGRAO, C E C PE-EFM ETI",14,1,1,1
,"HEITOR C A FURTADO, C E C-M-EF M PROFIS",4,1,1,1
,"HERMINIA R LUPION, C E C-M -EFMP",9,1,1,1
,"IRONDI MANTOVANI PUGLIESI, C E C-M-EFMP",1,1,1,1
,"IVANILDE DE NORONHA, C E C-M -EF ETI EM",19,1,1,1
,"IZIDORO L CERAVOLO,C E PROF-EF M PROFIS",37,2,1,1
,"JANDAIA DO SUL, C E C-M-EF M",48,3,1,1
,"JOAO PAULO I, C E-EF M PROFIS",20,1,1,1
,"JOAO PLATH, C E-EF M N PROFIS",40,2,1,1
,"JOSE CANALE, C E C-M PE-EF M PROFIS",9,1,1,1
,"JOSE DE ANCHIETA, C E C-M PE-EF M PROFIS",7,1,1,1
,"JOSE DE ANCHIETA, C E-EF M PROFIS",41,3,1,1
,"JULIO JUNQUEIRA, C E C DR-EF ETI EM",5,1,1,1
,"LUIZ J DOS SANTOS, C E C CEL-EF M PROFIS",36,2,1,1
,"MARUMBI, C E-EF ETI EM",47,3,1,1
,"NADIR M MONTANHA, C E PROFA-EF M PROFIS",11,1,1,1
,"NILO CAIRO, C E-EF M N PROFIS",30,2,1,1
,"OLAVO BILAC, C E C-M-EF M P",24,2,1,1
,"OSMAR GUARACY FREIRE, C E C-M-EF M P",11,1,1,1
,"POLIVALENTE C D SILVA, C E C-M-EF M P",30,2,1,1
,"REBOUCAS, C E DO C DR-EF ETI EM",7,1,1,1
,"ROSA D CALSAVARA, C E C-M-EF M PROFIS",30,2,1,1
,"RUI BARBOSA, C E-EF M ETI PROFIS",39,2,1,1
,"SABAUDIA, C E-EF M",23,2,1,1
,"SAO BARTOLOMEU, C E-EF M",7,1,1,1
,"TADASHI ENOMOTO, C E C-M-EF M",3,1,1,1
,"TALITA BRESOLIN, C E-EF ETI EM PROFIS",46,3,1,1
,"TANCREDO NEVES, C E C-EF ETI EM",12,1,1,1
,"TOME DE SOUZA, C E-EF M",31,2,1,1
,"UNIDADE POLO, C E-EF M P",48,3,1,1
,"UNIDADE POLO, C E-EF M PROFIS",2,1,1,1
,"VILSON MIRANDA, C E-EF ETI EM",23,2,1,1
,"WALFREDO S CORREA, C E C-M-EF M PROFIS",26,2,1,1
AREA METROP.NORTE,"ABRAHAM LINCOLN, C E PRES-EF M N PROFIS",39,2,1,1
,"ALBERTO KRAUSE, C E C-M PROF-EF M P",6,1,1,1
,"ALFREDO CHAVES, C E C-M-E F M P",19,1,1,1
,"ALGATE LICKFELD MAUS, C E PROFA-EF M",5,1,1,1
,"ALTAIR DA SILVA LEME, C E PROF-EF M P",13,1,1,1
,"AMBROSIO BINI, C E-EF M PROFIS",28,2,1,1
,"AMYNTAS DE BARROS, C E-EF M PROFIS",13,1,1,1
,"ANDRE ANDREATTA, C E-EF M PROFIS",17,1,1,1
,"ANGELA SANDRI TEIXEIRA, C E PROF-EF M P",19,1,1,1
,"ANTONIO L BRAGA, C E-EFMPN",15,1,1,1
,"ARLINDA F CREPLIVE, C E-EFMNP",8,1,1,1
,"ARNALDO F BUSATO,C E DEP-EF M N PROFIS",32,2,1,1
,"AUGUSTO A DA PAIXAO, C E C-EF M",12,1,1,1
,"BANDEIRANTES, C E-EF M N P",15,1,1,1
,"BEDA MARIA, C E FR-EF M N",1,1,1,1
,"BENTO M DA ROCHA NETO, C E-EF M PROFIS",14,1,1,1
,"CAMPO MAGRO, C E-EF M PROFIS",1,1,1,1
,"CAMPOS SALES, C E-EF M PROFIS",6,1,1,1
,CENTRO EST EDUC PROFIS NEWTON F MAIA,44,3,1,1
,"DANIEL ROCHA, C E PROF-EF M PROFIS",16,1,1,1
,"DANILO ZANONA RIBEIRO, CEC PROF - EF MP",3,1,1,1
,"DIOGO RAMOS, C E QUILOMBOLA-EF M",1,1,1,1
,"DIVINA PASTORA, C E-EF M",5,1,1,1
,"DJALMA JOHNSSON, C E PREF-EF M",12,1,1,1
,"EDIMAR WRIGHT, C E PROF-EF M N PROFIS",30,2,1,1
,"ELIAS ABRAHAO, C E C-M-EF M PROFIS",21,2,1,1
,"EMILIA BUZATO, C E C-M EF M PROFIS",7,1,1,1
,"FLORIPA TEIXEIRA DE FARIA, C E-EF M PROF",28,2,1,1
,"GENESIO MORESCHI, C E-EFMP",53,3,1,1
,"GILBERTO A DO NASCIMENTO, C E DR-EFMNP",16,1,1,1
,"GUARAITUBA, C E DE-EF M P",19,1,1,1
